Proto Recv-Q Send-Q Local-Address           Foreign-Address         State      
tcp        0      0 sunb-a7a89465b6.r:47968 172.21.1.50:8101        ESTABLISHED
tcp        0      0 sunb-a7a89465b6.r:47112 172.21.1.50:8101        ESTABLISHED
tcp        0      0 sunb-a7a89465b6.r:47266 172.21.1.50:8101        ESTABLISHED
tcp        0      0 sunb-a7a89465b6.r:56550 realsil-94:microsoft-ds ESTABLISHED
tcp        0      1 sunb-a7a89465b6.r:41854 chatenabled.mail.:https SYN_SENT   
tcp        0      0 sunb-a7a89465b6.r:47954 172.21.1.50:8101        ESTABLISHED
tcp        0      1 sunb-a7a89465b6.r:41858 chatenabled.mail.:https SYN_SENT   
tcp        0      1 sunb-a7a89465b6.r:41860 chatenabled.mail.:https SYN_SENT   
tcp        0      1 sunb-a7a89465b6.r:41856 chatenabled.mail.:https SYN_SENT   
tcp        0      0 sunb-a7a89465b6.r:47952 172.21.1.50:8101        ESTABLISHED
tcp        0      1 sunb-a7a89465b6.r:41852 chatenabled.mail.:https SYN_SENT   
